,ID,Arrival Date,Arrival Time,Start Date,Finish Date,Waiting Duration,Service Duration
0,1,2024-11-01 09:05:10.095456,5.168257593775184,2024-11-01 09:05:10.095456,2024-11-01 09:33:41.001331,0.0,28.515097927805975
1,2,2024-11-01 09:10:25.419467,10.4236577886365,2024-11-01 09:10:25.419467,2024-11-01 09:36:16.205310,0.0,25.846430714049866
2,3,2024-11-01 09:16:02.234118,16.037235304657777,2024-11-01 09:16:02.234118,2024-11-01 09:37:35.334830,0.0,21.551678521619152
3,5,2024-11-01 09:25:17.613774,25.293562898728776,2024-11-01 09:25:17.613774,2024-11-01 09:42:48.817981,0.0,17.520070114542456
4,4,2024-11-01 09:21:41.210370,21.686839500252496,2024-11-01 09:21:41.210370,2024-11-01 09:54:18.418925,0.0,32.62014258487345
5,8,2024-11-01 09:42:21.780027,42.36300045077264,2024-11-01 09:42:21.780027,2024-11-01 10:08:03.725664,0.0,25.69909394967681
6,6,2024-11-01 09:30:44.964456,30.749407598751937,2024-11-01 09:33:41.001331,2024-11-01 10:14:40.022779,2.9339479228292262,40.9836907917015
7,9,2024-11-01 09:47:31.614205,47.52690341872572,2024-11-01 09:47:31.614205,2024-11-01 10:17:21.542589,0.0,29.832139731557366
8,10,2024-11-01 09:51:50.048945,51.834149083622414,2024-11-01 09:54:18.418925,2024-11-01 10:24:57.133572,2.472833001503531,30.645244107946866
9,12,2024-11-01 10:03:46.757932,63.779298861324065,2024-11-01 10:14:40.022779,2024-11-01 10:33:55.148811,10.887747451958603,19.252100528902908
10,7,2024-11-01 09:36:39.237068,36.65395112715171,2024-11-01 09:36:39.237068,2024-11-01 10:36:19.034518,0.0,59.663290840958176
11,11,2024-11-01 09:59:11.166671,59.18611118347667,2024-11-01 10:08:03.725664,2024-11-01 10:37:46.007506,8.875983216972784,29.704697373000727
12,14,2024-11-01 10:10:30.666718,70.51111196972793,2024-11-01 10:24:57.133572,2024-11-01 10:52:09.949606,14.441114223344883,27.21360056596224
13,13,2024-11-01 10:07:50.353885,67.83923141633991,2024-11-01 10:17:21.542589,2024-11-01 10:53:59.455359,9.519811733943172,36.63187950738204
14,15,2024-11-01 10:14:11.924280,74.19873800620886,2024-11-01 10:33:55.148811,2024-11-01 10:56:03.088452,19.720408835976713,22.13232735605007
15,19,2024-11-01 10:35:04.046683,95.06744471574457,2024-11-01 10:53:59.455359,2024-11-01 11:04:44.166900,18.923477941920552,10.745192341386762
16,17,2024-11-01 10:24:46.955618,84.78259363609737,2024-11-01 10:37:46.007506,2024-11-01 11:08:53.129620,12.984198137352806,31.118701898933914
17,20,2024-11-01 10:41:28.277023,101.47128371744535,2024-11-01 10:56:03.088452,2024-11-01 11:16:44.004941,14.580190480790293,20.681941488585863
18,16,2024-11-01 10:19:18.786590,79.31310983006574,2024-11-01 10:36:19.034518,2024-11-01 11:19:35.745322,17.00413213804414,43.27851339245848
19,18,2024-11-01 10:30:27.486230,90.45810383714627,2024-11-01 10:52:09.949606,2024-11-01 11:21:42.598963,21.707722921888788,29.544155950299746
20,21,2024-11-01 10:47:17.539465,107.29232440880622,2024-11-01 11:04:44.166900,2024-11-01 11:23:23.160805,17.44379059024567,18.649898424230443
21,22,2024-11-01 10:53:18.866457,113.31444094755673,2024-11-01 11:08:53.129620,2024-11-01 11:32:56.283224,15.571052724827354,24.052560064174333
22,23,2024-11-01 10:58:58.443899,118.97406498546138,2024-11-01 11:16:44.004941,2024-11-01 11:39:29.913738,17.75935070136012,22.765146608745624
23,25,2024-11-01 11:06:17.174715,126.28624524845057,2024-11-01 11:21:42.598963,2024-11-01 11:41:31.559841,15.42373746088424,19.816014640828303
